iteration,energy,energy_error,gradient_norm
0,-8.9591298389899769,0.011092375117235266,0.32202726682537286
1,-8.9823578941883948,0.0085187015151865428,0.23001288493759886
2,-9.0218808542791358,0.0067267438239907006,0.25015257032446592
3,-9.0548210593802416,0.005625932728445057,0.27614068534942993
4,-9.0612523083866101,0.0055015725636189299,0.28450438696201602
5,-9.0752929989116087,0.0048398377024268784,0.32131279689795533
6,-9.0882505666704834,0.0043892830890618004,0.33764376512450506
7,-9.0984650032642076,0.0044236945763182021,0.37978919181329029
8,-9.0966341547455141,0.0045194107758684847,0.40861386927879473
9,-9.1176351155464612,0.0044822995811946501,0.47433938534266451
10,-9.1090446084310042,0.0037756062496690085,0.45616543968318507
11,-9.1245955262594798,0.0040490153659864404,0.51550207052408259
12,-9.1261041775607961,0.0037813272669692168,0.55331848468897438
13,-9.1365922528112637,0.0038729614154193446,0.56725269528622102
14,-9.138516049849418,0.0037279809623593251,0.6157876064565071
15,-9.1424300683845097,0.0037158009409827665,0.7196851337342357
16,-9.1457505273651964,0.0036139596543456358,0.75885534230765761
17,-9.1544885693497431,0.003186573627532073,0.82922020364141691
18,-9.1610368422487092,0.0035406448057648029,0.89549083509210303
19,-9.1546429477903892,0.0032252882425449019,0.90987275930348843
20,-9.1623941293032658,0.0034561741603425511,1.0730191171827885
21,-9.1549566930750963,0.0033053127449669305,1.0600845411951221
22,-9.1673751024145442,0.0032339501160387886,1.2026767007921388
23,-9.170198953207537,0.0029832066174181474,1.2418174815296479
24,-9.1721395867189539,0.0026583198634607397,1.3537841353186897
25,-9.1732458458581227,0.0027653945139520966,1.4891051904999699
26,-9.174256552756658,0.0024399097903026953,1.4781597499050252
27,-9.1765915357899406,0.0025058522752806449,1.6534609429101552
28,-9.1772060981410668,0.0024112759524551981,1.8129279195617185
29,-9.1791107554638405,0.0024244501128625443,1.8881859738326199
